"Subscription_Key","Account_Key","Currency","Price","Subscription_Type","Subscription_Monthly","Subscription_Start","Subscription_End","Gift_Subscription"
"1b82b2308dcae546ad0194d03b9d23edd5d2781109de28d25156e2e433b724ce","ab1bcf2c1b8d4eb422079becc0c59b1c7db2fd009235d23a0c8ee9b63ec356c0","chf","90.00","BASIC","0","2017-02-24","2021-02-23","false"
"4cb9f67d44d60eca0485270d73b3028143021296081847df5907dd0aed391b96","ee1a45a439dc6968f1cfc2b9840264deeada4c0d93f389909b5e0052be580371","chf","90.00","BASIC","0","2017-08-21","2023-08-20","false"
"40f9e218b70a6f482ecfcde0011305d93fa6059f624a50202ce67a6496c909f0","8bf8f58e615549df5f05b717b6e914da80e213edab3dba6b556d8274ccef97de","chf","9.00","BASIC","1","2017-09-26","2022-10-08","false"
"69d21e601612cc97fc7df9bd17a281879f785358d1c681c95066f5503ddb1f7c","cf914aa939499e8e18fdd9494fce5297b9dce2e1f909ead84fae1eeeae8087ee","chf","90.00","BASIC","0","2017-09-28","2021-09-27","false"
"29f98a3154a679f2fe953b1f3b148ddffcb28e60fff719ea70cf30839d236f48","8759ab0e44c1cf688770220cf1b87efac2726baca6bfcbf37a56dcce245df05f","eur","11.00","STANDARD","1","2017-10-13","2021-10-12","false"
"f5627e4ef66f219cfbcfb507a056bf1a0629f085a46e92543f931656c1a29ec5","c5511d59d31159ecb87ca1d7cfb3e44a6c4a4b96e5632a1854229888a496d9d5","chf","240.00","PATRON","0","2017-11-18","2020-11-17","false"
"8e42bc7151b4b0dd29e362b95fec4aa3b8e53c532d40badd8c8506657bdc5f5c","7f1182ed60acb48e4a55eb54b91bca7f20c55c066d8848456c02a4c6c7f39bae","chf","150.00","STANDARD","0","2017-12-20","2021-12-19","false"
"9f22270608209a507f93f3a74448a78a82f9741bc36ea3f8db1b79fd9b06f832","2c2621bf34f1cc419c0868f27ffece66dc1fb4f5ec665c2e25a82cff0776f5d2","chf","9.00","BASIC","1","2017-12-21","2020-11-08","false"
"03411f3ad7d86f2e1df3db5a337c3025ba35159eb9b41e9028a9b9216a17f77e","163db260041d30a58540a19312d416c9fc7cc6967541089a7c460407bca951f8","chf","9.00","BASIC","1","2017-12-22","2020-10-08","false"
"c254cee83dfc67c794b843a0ad622456cb36fdfe5143c48b2bf9ca78ce0879f0","47e795383bff3d37a251be1d911ffc0a7ca6f0da8b70a455a0ab57dbb5176e63","chf","240.00","PATRON","0","2017-12-31","2022-12-30","false"
"612235c848d8c41d317be6e63d5d05799defa916a5c3fd7515821825ca94657d","ea12fb65247707f6d50eca5a0ecff7553cab9947b788bfab2be05d0e35befa7c","chf","90.00","BASIC","0","2018-01-12","2021-01-12","false"
"b0c0ca31d915c1670f97e4f347fb8d6955be093cd3a3379fbd36bd78e8548c67","81b3bd2f64281f2560ebfa7be18a45b608687a0d146692e660caea255e02d20d","chf","90.00","BASIC","0","2018-01-20","2021-02-08","false"
"3ad77a78e43113361666ec1a4b06540fc2ddd84ae7cbabd9332389d0abd99325","3c84a8fb5508a115e73dc7d863452c4eb4e5ce7033adf6d158da813c2733b0c8","chf","9.00","BASIC","1","2018-02-08","2020-11-12","false"
"51bb7060d49abfb24919ab8b25593749a5a47334a31df22b509f76cd8b05f924","a307028539cad88dfcd863f8ff7fbd87e4bfe9fec01aceec04088b62b6752e87","chf","90.00","BASIC","0","2018-03-10","2022-03-09","false"
"1fa7121b01c506442dfca1527c3958770c03a33c6f5e150e0f04b0259f3ce328","28f76e3baebc94d855c22a25765b66dd0167b3ac4e08811095e773145df838cb","chf","90.00","BASIC","0","2018-03-28","2021-03-27","false"
