"Account_Key","Postal_Code","City","Language","Country_Code","Onetime_Rental_Count","Subscription_Count"
"60a90104f44414d9036aed7d96d1468a5a9e1d104b6791902035a80f3a66e2b8","5430","Wettingen","de","CH","0","1"
"a48b28809457e680de54b4b560e00117308431c574aab206e32df035d5f26a5f","8706","Meilen","de","CH","0","1"
"7a280859423057ac5f1e0bfc15af602edd23900f3cf7cbf5f3e8bbd7c5567337","1005","Lausanne","fr","CH","1","0"
"23e7ac18b391549e95a98d85a3adae1f3f90c4fcc09732c9310f8b5c3e044705","4436","Oberdorf","de","CH","0","2"
"a39dbaa7972fb67c15db79d4a66cf5d1b94855ae530774ba16a93a4bc6f3b288","6005","Luzern","de","CH","8","2"
"9a238f921587e91e5f0c2de608a2e2f9be2f9a0ac7aaeeca5e87f02efa21630b","8400","Winterthur","de","CH","0","3"
"a307028539cad88dfcd863f8ff7fbd87e4bfe9fec01aceec04088b62b6752e87","6102","Malters","de","CH","0","2"
"33265503e01e778f3398cb8be55acd6f9019b0f8edca74555ea313899096439a","8712","Stäfa","de","CH","2","1"
"a1d3f633fd3a125cab51216ec99415d046c292d2803ac36b25d065700781db93","8057","Zürich","de","CH","0","3"
"961a48ed59ebd95de356c5b51cf2d610a1ff218575919255f669ecfc1dea20a6","3653","Oberhofen","de","CH","2","1"
"777b3e1e5d984a626a09fb732511d42f6fe497000e0fd5749f7940f61bffeb67","8610","uster","de","CH","10","0"
"42415ef89e0ca667a6d53b184017ddf25d73ef4f7af9da4164f2b811ad375754","8422","Pfungen","de","CH","0","3"
"9101bb63206518ff215ddca39cbed390914351e88f3f095f5ad3fc51c7b1c4f1","1096","Cully","fr","CH","0","1"
"e3ed924fa3c023d24556317a977cb1889b5bce8845794763eb1f9143508f6f81","9410","Heiden","de","CH","3","2"
"55ab732376bffa4e56fc8169e5e85cf72b226fe4f2dcd385e8c2e899a19de677","7403","Rhäzüns","de","CH","12","0"
"df7359fde620b0e3addcc67a158557213c91c55dbfeede1b8dd1b98230eba33f","8640","Rapperswil","de","CH","0","2"
"303cc901f0895a7fd6ea31f6756cd597d4d289ae92526d688d766a8554f8df47","3032","Hinterkappelen","de","CH","0","2"
"3fd8a3e080afbf1f96fb36d079068d79b23c9d579bbd71348fc1bc8ff173b04d","8055","Zürich","de","CH","0","1"
"02647f52e4116e37de6d95f92c42491aea74742513ea179c5c54d0226e521ff8","8003","Zürich","de","CH","23","0"
